,place,lon,lat,cooling,fuel,state,f,c,idc
30,1348,-72.625,42.075,1,5,MA,Oil,ST-OT,1
32,1350,-71.075,41.875,5,3,MA,Gas,CC-RC,1
33,1350,-71.075,41.875,1,5,MA,Oil,ST-OT,1
34,1352,-83.825,43.675,1,2,MI,Coal,ST-OT,1
35,1352,-83.825,43.675,2,5,MI,Oil,ST-RC,1
36,1354,-83.875,43.625,1,2,MI,Coal,ST-OT,1
37,1360,-83.125,42.225,1,2,MI,Coal,ST-OT,1
38,1360,-83.125,42.225,1,5,MI,Oil,ST-OT,1
39,1361,-82.475,42.725,1,2,MI,Coal,ST-OT,1
40,1362,-83.125,42.075,1,2,MI,Coal,ST-OT,1
42,1365,-86.225,43.075,1,2,MI,Coal,ST-OT,1
44,1368,-84.625,42.675,2,2,MI,Coal,ST-RC,1
46,1371,-83.125,42.175,1,2,MI,Coal,ST-OT,1
47,1371,-83.125,42.175,1,5,MI,Oil,ST-OT,1
49,1375,-93.225,44.825,4,3,MN,Gas,CC-OT,1
50,1376,-93.125,44.925,4,3,MN,Gas,CC-OT,1
51,1377,-92.775,45.025,1,2,MN,Coal,ST-OT,1
53,1380,-92.475,44.025,2,5,MN,Oil,ST-RC,1
67,1392,-94.175,39.175,1,2,MO,Coal,ST-OT,1
78,1406,-96.475,41.425,2,2,NE,Coal,ST-RC,1
79,1408,-96.775,40.575,2,2,NE,Coal,ST-RC,1
80,1410,-95.925,41.325,1,2,NE,Coal,ST-OT,1
81,1410,-95.925,41.325,2,2,NE,Coal,ST-RC,1
83,1412,-114.625,36.675,2,2,NV,Coal,ST-RC,1
95,1433,-74.725,40.175,1,2,NJ,Coal,ST-OT,1
96,1436,-108.475,36.725,2,2,NM,Coal,ST-RC,1
100,1442,-108.425,36.725,2,2,NM,Coal,ST-RC,1
104,1450,-73.975,41.325,1,4,NY,Nuclear,ST-OT,1
105,1467,-73.925,41.225,1,5,NY,Oil,ST-OT,1
106,1471,-79.225,42.125,2,5,NY,Oil,ST-RC,1
126,1504,-80.625,40.525,1,2,OH,Coal,ST-OT,1
144,1528,-75.075,40.925,1,2,PA,Coal,ST-OT,1
147,1534,-79.075,40.375,2,2,PA,Coal,ST-RC,1
150,1541,-76.675,40.125,1,2,PA,Coal,ST-OT,1
156,1559,-71.375,41.825,5,3,RI,Gas,CC-RC,1
157,1559,-71.375,41.825,4,3,RI,Gas,CC-OT,1
190,1609,-102.025,35.825,2,5,TX,Oil,ST-RC,1
213,1657,-122.975,46.725,5,3,WA,Gas,CC-RC,1
