	time	count	countnew
0	2000-01-01	1.0	1.0
1	2000-01-02	1.0	1.0
2	2000-01-03	1.0	1.0
3	2000-01-04	0.96	0.714285714286
4	2000-01-05	0.95	0.642857142857
5	2000-01-06	0.95	0.642857142857
6	2000-01-07	0.95	0.642857142857
7	2000-01-08	0.95	0.642857142857
8	2000-01-09	1.0	1.0
9	2000-01-10	1.0	1.0
10	2000-01-11	1.0	1.0
11	2000-01-12	1.0	1.0
12	2000-01-13	1.0	1.0
13	2000-01-14	1.0	1.0
14	2000-01-15	1.0	1.0
15	2000-01-16	1.0	1.0
16	2000-01-17	1.0	1.0
17	2000-01-18	0.96	0.714285714286
18	2000-01-19	0.96	0.714285714286
19	2000-01-20	0.96	0.714285714286
20	2000-01-21	0.96	0.714285714286
21	2000-01-22	0.96	0.714285714286
22	2000-01-23	1.0	1.0
23	2000-01-24	1.0	1.0
24	2000-01-25	0.95	0.642857142857
25	2000-01-26	0.95	0.642857142857
26	2000-01-27	0.95	0.642857142857
27	2000-01-28	1.0	1.0
28	2000-01-29	1.0	1.0
29	2000-01-30	1.0	1.0
30	2000-01-31	1.0	1.0
31	2000-02-01	1.0	1.0
32	2000-02-02	1.0	1.0
33	2000-02-03	1.0	1.0
34	2000-02-04	1.0	1.0
35	2000-02-05	1.0	1.0
36	2000-02-06	0.97	0.785714285714
37	2000-02-07	0.97	0.785714285714
38	2000-02-08	0.96	0.714285714286
39	2000-02-09	0.96	0.714285714286
40	2000-02-10	0.95	0.642857142857
41	2000-02-11	0.95	0.642857142857
42	2000-02-12	0.95	0.642857142857
43	2000-02-13	0.95	0.642857142857
44	2000-02-14	0.95	0.642857142857
45	2000-02-15	0.95	0.642857142857
46	2000-02-16	0.95	0.642857142857
47	2000-02-17	0.95	0.642857142857
48	2000-02-18	0.94	0.571428571429
49	2000-02-19	0.95	0.642857142857
50	2000-02-20	0.96	0.714285714286
51	2000-02-21	0.96	0.714285714286
52	2000-02-22	0.95	0.642857142857
53	2000-02-23	0.97	0.785714285714
54	2000-02-24	0.96	0.714285714286
55	2000-02-25	0.95	0.642857142857
56	2000-02-26	0.96	0.714285714286
57	2000-02-27	0.96	0.714285714286
58	2000-02-28	0.95	0.642857142857
59	2000-02-29	0.95	0.642857142857
60	2000-03-01	0.95	0.642857142857
61	2000-03-02	0.95	0.642857142857
62	2000-03-03	0.95	0.642857142857
63	2000-03-04	0.95	0.642857142857
64	2000-03-05	0.95	0.642857142857
65	2000-03-06	0.95	0.642857142857
66	2000-03-07	0.95	0.642857142857
67	2000-03-08	0.94	0.571428571429
68	2000-03-09	0.95	0.642857142857
69	2000-03-10	0.95	0.642857142857
70	2000-03-11	0.94	0.571428571429
71	2000-03-12	0.94	0.571428571429
