,Unnamed: 0,place,lat,lon,fuel,dischargefile,cooling,f,c
124,640,2376,33.475,-84.875,5,569_1062.tsv,2,,
125,659,2414,39.725,-86.175,5,694_1036.tsv,1,,
126,675,2429,42.525,-90.625,5,750_947.tsv,1,,
127,677,2431,41.775,-90.225,5,735_955.tsv,2,,
128,679,2434,42.025,-92.825,5,740_903.tsv,2,,
129,688,2444,37.175,-100.775,5,643_744.tsv,2,,
130,689,2445,37.725,-99.975,5,654_760.tsv,2,,
131,690,2446,38.425,-98.825,5,668_783.tsv,2,,
132,691,2448,37.825,-97.475,5,656_810.tsv,2,,
133,693,2450,37.575,-97.325,5,651_813.tsv,2,,
134,694,2452,38.025,-97.925,5,660_801.tsv,2,,
135,697,2455,37.075,-95.625,5,641_847.tsv,2,,
136,698,2456,39.075,-94.625,5,681_867.tsv,2,,
137,700,2458,37.975,-100.875,5,659_742.tsv,2,,
138,710,72728,41.725,-87.425,5,734_1011.tsv,2,,
139,711,72730,40.775,-74.025,5,715_1279.tsv,2,,
140,712,72731,40.775,-73.975,5,715_1280.tsv,2,,
141,723,72813,35.375,-106.475,5,607_630.tsv,2,,
142,734,73009,35.275,-91.375,5,605_932.tsv,1,,
143,745,73271,36.125,-97.075,5,622_818.tsv,2,,
144,752,73384,44.575,-68.825,5,791_1383.tsv,2,,
145,763,73519,46.825,-67.975,5,836_1400.tsv,1,,
146,774,73702,39.275,-97.125,5,685_817.tsv,2,,
147,792,73881,33.425,-111.975,5,568_520.tsv,2,,
148,799,74066,40.525,-81.475,5,710_1130.tsv,1,,
149,806,74134,37.225,-97.025,5,644_819.tsv,2,,
150,816,74298,40.175,-97.175,5,703_816.tsv,1,,
151,849,74871,41.675,-87.425,5,733_1011.tsv,2,,
152,851,74888,33.525,-90.225,5,570_955.tsv,2,,
153,862,75004,40.675,-73.975,5,713_1280.tsv,2,,
154,874,75123,33.575,-101.775,5,571_724.tsv,2,,
155,909,75722,39.125,-93.225,5,682_895.tsv,2,,
156,911,75751,33.525,-92.775,5,570_904.tsv,1,,
157,920,75878,32.575,-93.275,5,551_894.tsv,2,,
158,921,75882,40.325,-80.625,5,706_1147.tsv,2,,
159,934,76147,44.325,-94.475,5,786_870.tsv,2,,
160,935,76147,44.325,-94.475,5,786_870.tsv,1,,
161,939,76239,43.675,-92.975,5,773_900.tsv,2,,
162,941,76240,36.425,-95.675,5,628_846.tsv,2,,
163,965,76542,39.775,-86.175,5,695_1036.tsv,2,,
164,972,76663,36.625,-97.025,5,632_819.tsv,2,,
165,980,76734,37.625,-98.725,5,652_785.tsv,2,,
166,1004,77005,32.925,-90.375,5,558_952.tsv,2,,
167,1011,77093,45.175,-95.025,5,803_859.tsv,2,,
168,1012,77105,34.175,-90.575,5,583_948.tsv,2,,
169,1015,77131,46.775,-89.575,5,835_968.tsv,2,,
170,1017,77144,44.075,-122.975,5,781_300.tsv,2,,
171,1019,77218,37.275,-97.425,5,645_811.tsv,2,,
172,1060,78060,25.875,-97.525,5,417_809.tsv,2,,
173,1064,78151,39.975,-75.175,5,699_1256.tsv,2,,
174,1067,78220,28.875,-97.125,5,477_817.tsv,1,,
175,1077,385643,30.475,-91.175,5,509_936.tsv,2,,
176,1109,594170,38.975,-76.925,5,679_1221.tsv,2,,
177,1113,607176,38.425,-78.825,5,668_1183.tsv,2,,
178,1127,676259,38.625,-82.875,5,672_1102.tsv,1,,
179,1144,875399,38.625,-90.175,5,672_956.tsv,2,,
180,1153,913505,41.725,-83.425,5,734_1091.tsv,2,,
181,1159,1134407,35.825,-115.425,5,616_451.tsv,2,,
182,1165,1181091,38.725,-90.225,5,674_955.tsv,2,,
183,1168,1319175,46.825,-101.725,5,836_725.tsv,2,,
184,1174,1584122,30.125,-90.925,5,502_941.tsv,2,,
185,1177,1651571,39.025,-76.975,5,680_1220.tsv,2,,
186,1178,1680849,41.675,-87.475,5,733_1010.tsv,2,,
187,1179,1744511,27.875,-82.075,5,457_1118.tsv,2,,
